name,address,country,cross_street,formatted_address,locality,postcode,region,address_extended,categories
La Luna Restaurant Downtown,306 King St W,CA,at Queen St,"306 King St W (at Queen St), Hamilton ON L8P 1B1",Hamilton,L8P 1B1,ON,,"['Lebanese Restaurant', 'Mediterranean Restaurant', 'Mexican Restaurant']"
Coop Hamilton,274 King St W,CA,,"274 King St W, Hamilton ON L8P 1J6",Hamilton,L8P 1J6,ON,# 272,['Fried Chicken Joint']
Smoke's Poutinerie,112 George St,CA,at Queen St. S.,"112 George St (at Queen St. S.), Hamilton ON L8P 1E2",Hamilton,L8P 1E2,ON,,"['Fast Food Restaurant', 'Poutine Restaurant', 'Steakhouse']"
Coop Wicked Chicken Hamilton,274 King St W,CA,Hess St,"274 King St W (Hess St), Hamilton ON L8P 1J6",Hamilton,L8P 1J6,ON,# 272,['Fried Chicken Joint']
Vida la Pita,217 King St W,CA,Caroline,"217 King St W (Caroline), Hamilton ON L8P 1A7",Hamilton,L8P 1A7,ON,,"['Fast Food Restaurant', 'Middle Eastern Restaurant']"
Wimpy's Diner,405 Main St W,CA,,"405 Main St W, Hamilton ON L8P 1K5",Hamilton,L8P 1K5,ON,,['Diner']
Brown Dog Coffee Shop,211 Locke St S,CA,,"211 Locke St S, Hamilton ON L8P 4B6",Hamilton,L8P 4B6,ON,,"['Café', 'Coffee Shop', 'Restaurant']"
The Burnt Tongue,182 Locke St S,CA,Pine St.,"182 Locke St S (Pine St.), Hamilton ON L8P 4B3",Hamilton,L8P 4B3,ON,,['Soup Spot']
Pizza Hut,610 King St W,CA,Dundurn,"610 King St W (Dundurn), Hamilton ON L8P 1C2",Hamilton,L8P 1C2,ON,,"['Pizzeria', 'Fast Food Restaurant']"
Donut Monster,246 Locke St S,CA,,"246 Locke St S, Hamilton ON L8P 4B9",Hamilton,L8P 4B9,ON,,"['Bagel Shop', 'Bakery', 'Restaurant']"
The Harbour Diner,486 James St N,CA,btwn Ferrie St and Picton St,"486 James St N (btwn Ferrie St and Picton St), Hamilton ON L8L 1J1",Hamilton,L8L 1J1,ON,,"['Diner', 'Comfort Food Restaurant']"
Fisher's Pier 4 Pub & Grub,554 James St N,CA,,"554 James St N, Hamilton ON L8L 1J5",Hamilton,L8L 1J5,ON,,['Restaurant']
Saltlick Smokehouse,282 James St N,CA,Barton Street,"282 James St N (Barton Street), Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,['BBQ Joint']
Charred,244 James St N,CA,btwn Robert St & Colbourne St,"244 James St N (btwn Robert St & Colbourne St), Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,"['BBQ Joint', 'Portuguese Restaurant']"
Mulberry Street Coffeehouse,193 James St N,CA,Mulberry St.,"193 James St N (Mulberry St.), Hamilton ON L8R 2L2",Hamilton,L8R 2L2,ON,,"['Café', 'Coffee Shop', 'Restaurant']"
Bonanza Bakery,100 Murray St E,CA,,"100 Murray St E, Hamilton ON L8L 3G4",Hamilton,L8L 3G4,ON,,['Bakery']
Born and Raised,224 James St N,CA,,"224 James St N, Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,"['Gastropub', 'Italian Restaurant']"
Ola Bakery & Pastries,230 James St N,CA,Barton St. W,"230 James St N (Barton St. W), Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,"['Bakery', 'Coffee Shop', 'Restaurant']"
Neit Bar,337 James St N,CA,Murray,"337 James St N (Murray), Hamilton ON L8L 1H3",Hamilton,L8L 1H3,ON,,['Restaurant']
Mesa,255 James St N,CA,,"255 James St N, Hamilton ON L8R 2L2",Hamilton,L8R 2L2,ON,,['Mexican Restaurant']
The Harbour Diner,486 James St N,CA,btwn Ferrie St and Picton St,"486 James St N (btwn Ferrie St and Picton St), Hamilton ON L8L 1J1",Hamilton,L8L 1J1,ON,,"['Diner', 'Comfort Food Restaurant']"
Fisher's Pier 4 Pub & Grub,554 James St N,CA,,"554 James St N, Hamilton ON L8L 1J5",Hamilton,L8L 1J5,ON,,['Restaurant']
Saltlick Smokehouse,282 James St N,CA,Barton Street,"282 James St N (Barton Street), Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,['BBQ Joint']
Charred,244 James St N,CA,btwn Robert St & Colbourne St,"244 James St N (btwn Robert St & Colbourne St), Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,"['BBQ Joint', 'Portuguese Restaurant']"
Mulberry Street Coffeehouse,193 James St N,CA,Mulberry St.,"193 James St N (Mulberry St.), Hamilton ON L8R 2L2",Hamilton,L8R 2L2,ON,,"['Café', 'Coffee Shop', 'Restaurant']"
Bonanza Bakery,100 Murray St E,CA,,"100 Murray St E, Hamilton ON L8L 3G4",Hamilton,L8L 3G4,ON,,['Bakery']
Born and Raised,224 James St N,CA,,"224 James St N, Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,"['Gastropub', 'Italian Restaurant']"
Ola Bakery & Pastries,230 James St N,CA,Barton St. W,"230 James St N (Barton St. W), Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,"['Bakery', 'Coffee Shop', 'Restaurant']"
Neit Bar,337 James St N,CA,Murray,"337 James St N (Murray), Hamilton ON L8L 1H3",Hamilton,L8L 1H3,ON,,['Restaurant']
Mesa,255 James St N,CA,,"255 James St N, Hamilton ON L8R 2L2",Hamilton,L8R 2L2,ON,,['Mexican Restaurant']
August 8,1 Wilson St,CA,James St.,"1 Wilson St (James St.), Hamilton ON L8R 1C4",Hamilton,L8R 1C4,ON,# 12,"['Dim Sum Restaurant', 'Sushi Restaurant']"
The Burnt Tongue,10 Cannon St E,CA,James St N,"10 Cannon St E (James St N), Hamilton ON L8L 1Z5",Hamilton,L8L 1Z5,ON,,"['Fast Food Restaurant', 'Soup Spot']"
Mulberry Street Coffeehouse,193 James St N,CA,Mulberry St.,"193 James St N (Mulberry St.), Hamilton ON L8R 2L2",Hamilton,L8R 2L2,ON,,"['Café', 'Coffee Shop', 'Restaurant']"
The Mule,41 King William St,CA,Hughson,"41 King William St (Hughson), Hamilton ON L8R 1A2",Hamilton,L8R 1A2,ON,,['Taco Restaurant']
Charred,244 James St N,CA,btwn Robert St & Colbourne St,"244 James St N (btwn Robert St & Colbourne St), Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,"['BBQ Joint', 'Portuguese Restaurant']"
Lulu's Shawarma,32 John St N,CA,at King William St.,"32 John St N (at King William St.), Hamilton ON L8R 1H3",Hamilton,L8R 1H3,ON,,"['Mediterranean Restaurant', 'Middle Eastern Restaurant']"
Burrito Boyz,66 King St E,CA,,"66 King St E, Hamilton ON L8N 1A6",Hamilton,L8N 1A6,ON,,['Burrito Restaurant']
Saltlick Smokehouse,282 James St N,CA,Barton Street,"282 James St N (Barton Street), Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,['BBQ Joint']
Vida la Pita,217 King St W,CA,Caroline,"217 King St W (Caroline), Hamilton ON L8P 1A7",Hamilton,L8P 1A7,ON,,"['Fast Food Restaurant', 'Middle Eastern Restaurant']"
Coop Hamilton,274 King St W,CA,,"274 King St W, Hamilton ON L8P 1J6",Hamilton,L8P 1J6,ON,# 272,['Fried Chicken Joint']
August 8,1 Wilson St,CA,James St.,"1 Wilson St (James St.), Hamilton ON L8R 1C4",Hamilton,L8R 1C4,ON,# 12,"['Dim Sum Restaurant', 'Sushi Restaurant']"
The Burnt Tongue,10 Cannon St E,CA,James St N,"10 Cannon St E (James St N), Hamilton ON L8L 1Z5",Hamilton,L8L 1Z5,ON,,"['Fast Food Restaurant', 'Soup Spot']"
Mulberry Street Coffeehouse,193 James St N,CA,Mulberry St.,"193 James St N (Mulberry St.), Hamilton ON L8R 2L2",Hamilton,L8R 2L2,ON,,"['Café', 'Coffee Shop', 'Restaurant']"
The Mule,41 King William St,CA,Hughson,"41 King William St (Hughson), Hamilton ON L8R 1A2",Hamilton,L8R 1A2,ON,,['Taco Restaurant']
Charred,244 James St N,CA,btwn Robert St & Colbourne St,"244 James St N (btwn Robert St & Colbourne St), Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,"['BBQ Joint', 'Portuguese Restaurant']"
Lulu's Shawarma,32 John St N,CA,at King William St.,"32 John St N (at King William St.), Hamilton ON L8R 1H3",Hamilton,L8R 1H3,ON,,"['Mediterranean Restaurant', 'Middle Eastern Restaurant']"
Burrito Boyz,66 King St E,CA,,"66 King St E, Hamilton ON L8N 1A6",Hamilton,L8N 1A6,ON,,['Burrito Restaurant']
Saltlick Smokehouse,282 James St N,CA,Barton Street,"282 James St N (Barton Street), Hamilton ON L8R 2L3",Hamilton,L8R 2L3,ON,,['BBQ Joint']
Vida la Pita,217 King St W,CA,Caroline,"217 King St W (Caroline), Hamilton ON L8P 1A7",Hamilton,L8P 1A7,ON,,"['Fast Food Restaurant', 'Middle Eastern Restaurant']"
Coop Hamilton,274 King St W,CA,,"274 King St W, Hamilton ON L8P 1J6",Hamilton,L8P 1J6,ON,# 272,['Fried Chicken Joint']
Durand Coffee,142 Charlton Ave W,CA,Caroline St S.,"142 Charlton Ave W (Caroline St S.), Hamilton ON L8P 2C7",Hamilton,L8P 2C7,ON,,"['Café', 'Coffee Shop']"
Earth to Table Bread Bar,258 Locke St S,CA,Herkimer St.,"258 Locke St S (Herkimer St.), Hamilton ON L8P 4B9",Hamilton,L8P 4B9,ON,,"['Bakery', 'Pizzeria']"
Queen's Pizza & Wings,178 Queen St S,CA,at Duke St.,"178 Queen St S (at Duke St.), Hamilton ON L8P 3S7",Hamilton,L8P 3S7,ON,,['Pizzeria']
One Duke Restaurant & Lounge,1 Duke St,CA,at James St. South,"1 Duke St (at James St. South), Hamilton ON L8P 1W9",Hamilton,L8P 1W9,ON,,"['American Restaurant', 'Comfort Food Restaurant', 'Italian Restaurant']"
Donut Monster,246 Locke St S,CA,,"246 Locke St S, Hamilton ON L8P 4B9",Hamilton,L8P 4B9,ON,,"['Bagel Shop', 'Bakery', 'Restaurant']"
Red Crow Coffee,211 James St S,CA,Charlton Ave,"211 James St S (Charlton Ave), Hamilton ON L8P 3B2",Hamilton,L8P 3B2,ON,,"['Café', 'Coffee Shop', 'Restaurant']"
Brown Dog Coffee Shop,211 Locke St S,CA,,"211 Locke St S, Hamilton ON L8P 4B6",Hamilton,L8P 4B6,ON,,"['Café', 'Coffee Shop', 'Restaurant']"
Wass Ethiopian Restaurant,207 James St N,CA,at Forest Ave.,"207 James St N (at Forest Ave.), Hamilton ON L8R 2L2",Hamilton,L8R 2L2,ON,,['Ethiopian Restaurant']
Bronzie's Place,201 James St S,CA,at Forest Ave,"201 James St S (at Forest Ave), Hamilton ON L8P 3A8",Hamilton,L8P 3A8,ON,,['Pizzeria']
Tomah,132 Queen St S,CA,,"132 Queen St S, Hamilton ON L8P 3S2",Hamilton,L8P 3S2,ON,,['Syrian Restaurant']
Atlantic Submarines,212 John St S,CA,Young Street,"212 John St S (Young Street), Hamilton ON L8N 2C8",Hamilton,L8N 2C8,ON,,['Sandwich Spot']
Red Crow Coffee,211 James St S,CA,Charlton Ave,"211 James St S (Charlton Ave), Hamilton ON L8P 3B2",Hamilton,L8P 3B2,ON,,"['Café', 'Coffee Shop', 'Restaurant']"
Wass Ethiopian Restaurant,207 James St N,CA,at Forest Ave.,"207 James St N (at Forest Ave.), Hamilton ON L8R 2L2",Hamilton,L8R 2L2,ON,,['Ethiopian Restaurant']
Bronzie's Place,201 James St S,CA,at Forest Ave,"201 James St S (at Forest Ave), Hamilton ON L8P 3A8",Hamilton,L8P 3A8,ON,,['Pizzeria']
One Duke Restaurant & Lounge,1 Duke St,CA,at James St. South,"1 Duke St (at James St. South), Hamilton ON L8P 1W9",Hamilton,L8P 1W9,ON,,"['American Restaurant', 'Comfort Food Restaurant', 'Italian Restaurant']"
Mezcal TNT,150 James St S,CA,Augusta,"150 James St S (Augusta), Hamilton ON L8P 3A2",Hamilton,L8P 3A2,ON,,"['Bar', 'Tex-Mex Restaurant']"
Radius,151 James St S,CA,at Augusta St,"151 James St S (at Augusta St), Hamilton ON L8P 2Z5",Hamilton,L8P 2Z5,ON,,['Fast Food Restaurant']
Tea Hut,100 Main St E,CA,,"100 Main St E, Hamilton ON L8N 3W4",Hamilton,L8N 3W4,ON,# 100,"['Bar', 'Diner', 'Asian Restaurant']"
Burrito Boyz,66 King St E,CA,,"66 King St E, Hamilton ON L8N 1A6",Hamilton,L8N 1A6,ON,,['Burrito Restaurant']
Shakespeare's Steak and Seafood,181 Main St E,CA,,"181 Main St E, Hamilton ON L8N 1H2",Hamilton,L8N 1H2,ON,,"['Diner', 'Seafood Restaurant', 'Steakhouse']"
La Luna Restaurant Downtown,306 King St W,CA,at Queen St,"306 King St W (at Queen St), Hamilton ON L8P 1B1",Hamilton,L8P 1B1,ON,,"['Lebanese Restaurant', 'Mediterranean Restaurant', 'Mexican Restaurant']"
Coop Hamilton,274 King St W,CA,,"274 King St W, Hamilton ON L8P 1J6",Hamilton,L8P 1J6,ON,# 272,['Fried Chicken Joint']
Smoke's Poutinerie,112 George St,CA,at Queen St. S.,"112 George St (at Queen St. S.), Hamilton ON L8P 1E2",Hamilton,L8P 1E2,ON,,"['Fast Food Restaurant', 'Poutine Restaurant', 'Steakhouse']"
Coop Wicked Chicken Hamilton,274 King St W,CA,Hess St,"274 King St W (Hess St), Hamilton ON L8P 1J6",Hamilton,L8P 1J6,ON,# 272,['Fried Chicken Joint']
