available_bikes,longitude,latitude,name,rating,pricing,review_count,street address,Is Closed,Contact#
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,The Coop,3.8,2.0,43,274-274 King Street W,False,1289778266
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,1905525030
3,-79.88,43.26,Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,1289389877
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,1365888568
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,1905525030
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,The Coop,3.8,2.0,43,274-274 King Street W,False,1289778266
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,1905525030
3,-79.88,43.26,Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,1289389877
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,1365888568
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,The Coop,3.8,2.0,43,274-274 King Street W,False,1289778266
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,1905525030
3,-79.88,43.26,Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,1289389877
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,1365888568
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,1905525030
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,The Coop,3.8,2.0,43,274-274 King Street W,False,1289778266
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,1905525030
3,-79.88,43.26,Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,1289389877
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,1365888568
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,The Coop,3.8,2.0,43,274-274 King Street W,False,1289778266
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,1905525030
3,-79.88,43.26,Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,1289389877
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,1365888568
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,Stonewalls Restaurant,2.4,2.0,37,339 York Boulevard,False,1905577080
3,-79.88,43.26,McQueen's Banh Mi Viet,4.4,,7,103 Queen Street N,False,1905529299
3,-79.88,43.26,Select Food Mart,5.0,,1,300 York Boulevard,False,1905523028
3,-79.88,43.26,K.W. BBQ KITCHEN,4.0,,2,103 Queen St N,False,1905577688
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,1905525030
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,1365888568
3,-79.88,43.26,Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,1289389877
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,1365888568
3,-79.88,43.26,Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,1289389877
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,1365888568
3,-79.88,43.26,Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,1289389877
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,Stonewalls Restaurant,2.4,2.0,37,339 York Boulevard,False,1905577080
3,-79.88,43.26,McQueen's Banh Mi Viet,4.4,,7,103 Queen Street N,False,1905529299
3,-79.88,43.26,K.W. BBQ KITCHEN,4.0,,2,103 Queen St N,False,1905577688
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,The Coop,3.8,2.0,43,274-274 King Street W,False,1289778266
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,1905525030
3,-79.88,43.26,Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,1289389877
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,1365888568
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,The Coop,3.8,2.0,43,274-274 King Street W,False,1289778266
3,-79.88,43.26,Ark and Anchor,4.3,2.0,14,300 King Street W,False,1905751934
3,-79.88,43.26,Moodys,3.8,,14,107 George Street,False,1289309644
3,-79.88,43.26,Electric Diner,3.5,,20,96 George Street,False,1905526951
3,-79.88,43.26,Amigos,4.4,,16,109 George Street,False,1905267153
3,-79.88,43.26,Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,1905525030
3,-79.88,43.26,Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,1289389877
3,-79.88,43.26,Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,1905577100
3,-79.88,43.26,Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,1365888568
3,-79.88,43.26,Tomah,5.0,,7,132 Queen Street S,False,1905522191
3,-79.88,43.26,La Luna,3.8,2.0,66,306 King Street W,False,1905577023
3,-79.88,43.26,Pho Nhung,4.4,,18,85 Queen St N,False,1905525800
3,-79.88,43.26,The Coop,3.8,2.0,43,274-274 King Street W,False,1289778266
