name,rating,pricing,review_count,street address,Is Closed,Contact#,latitude,longitude
La Luna,3.8,2.0,66,306 King Street W,False,+19055770233,43.26,-79.88
Bardō Locke Street,4.3,2.0,293,258 Locke Street S,False,+19055222999,43.25,-79.89
Pho Nhung,4.4,,18,85 Queen St N,False,+19055258008,43.26,-79.88
The Ship,4.1,2.0,207,23 Augusta Street,False,+19055260792,43.25,-79.87
The Coop,3.8,2.0,43,274-274 King Street W,False,+12897782667,43.26,-79.88
Berkeley North,4.3,3.0,41,31 King William Street,False,+19055225858,43.26,-79.87
Ark and Anchor,4.3,2.0,14,300 King Street W,False,+19057519345,43.26,-79.88
Moodys,3.8,,14,107 George Street,False,+12893096449,43.26,-79.88
Electric Diner,3.5,,20,96 George Street,False,+19055269512,43.26,-79.88
Amigos,4.4,,16,109 George Street,False,+19052671532,43.26,-79.88
Planted in Hamilton,4.5,2.0,37,211 Locke Street S,False,+12893896676,43.25,-79.89
Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,+19055250309,43.26,-79.88
Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,+12893898779,43.26,-79.88
Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,+19055771000,43.26,-79.88
The Burnt Tongue,4.4,2.0,41,182 Locke Street S,False,+12893891156,43.26,-79.89
Radius,3.2,3.0,94,151 James Street S,False,+19053931658,43.25,-79.87
The West Town Bar & Grill,3.3,2.0,48,214 Locke Street S,False,+19055701412,43.25,-79.89
Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,+13658885686,43.26,-79.88
Tomah,5.0,,7,132 Queen Street S,False,+19055221919,43.26,-79.88
Durand Coffee,4.5,2.0,28,142 Charlton Avenue W,False,+19053939150,43.25,-79.88
Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,+12893896565,43.26,-79.87
Charred Chicken,4.2,2.0,117,244 James Street N,False,+12893960662,43.26,-79.87
Mesa,4.1,2.0,57,255 James Street N,False,+12892469696,43.26,-79.87
Harbour Diner,3.8,2.0,60,486 James Street N,False,+19055230153,43.27,-79.86
Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,+19059631365,43.26,-79.87
Pho Nhung,4.4,,18,85 Queen St N,False,+19055258008,43.26,-79.88
Synonym,4.7,,12,328 James Street N,False,+19055257974,43.26,-79.87
Green Bar,4.5,1.0,17,236 James Street N,False,+12893962288,43.26,-79.87
Born and Raised,3.8,2.0,25,224 James Street N,False,+12897685233,43.26,-79.87
Pho Lac Vien,4.2,1.0,19,430 York Boulevard,False,+19055223525,43.27,-79.88
Pho Hamilton,4.7,,6,115 Park Street N,False,+12893896668,43.26,-79.87
Ola Bakery & Pastries,4.6,1.0,13,224-246 James Street N,False,,43.26,-79.87
Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,+19055771000,43.26,-79.88
Wild Orchid,2.8,2.0,17,286 James St N,False,+19055287171,43.26,-79.87
Williams Fresh Cafe,2.7,2.0,39,47 Discovery Drive,False,+19055225886,43.28,-79.86
